,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,declarationOfCalamity,evacuationCenters,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresent,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers,reference,otherDescription,otherDescription,otherDescription,startDate,endDate
182,Tropical Cyclone,"Tropical Storm ""Kabayan"" (Etau)","August  4-6, 2003",,,III,,,2,169,,,,31630,155147,124,585,,,1.486,35.497,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-04,2003-08-06
183,Tropical Cyclone,"Typhoon ""Nina"" (Krovanh)","August 20-23, 2003",,,I; II; III,,,1,2,,,1,289,1156,9,36,9,,,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-20,2003-08-23
184,Tropical Cyclone,"Typhoon ""Onyok"" (Dujuan)","August 29 - September 2, 2003",,,III; NCR,,,12,,1,1,,6535,34288,1420,3831,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-29,2003-09-02
185,Tropical Cyclone,"Tropical Storm ""Ursula""","October 24-31, 2003",,,VI,,,,,1,,,12288,64290,,,28,19,0.028,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,2003-10-24,2003-10-31
186,Tropical Cyclone,"Tropical Storm ""Weng""","November 12-15, 2003",,,IV; V; VI; VII; VIII,,,,,13,5,11,91,443,,,2,21,0.025,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-12,2003-11-15
187,Storm Surge,Typhoon of Samar and Leyte,"October 12, 1897",11.412,125.549,"Hernani, Eastern Samar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897-10-12,1897-10-12
188,Storm Surge,Typhoon of October 13 1908,"October 13, 1908",18.3597,121.6412,"Aparri, Cagayan",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908-10-13,1908-10-13
189,Storm Surge,Typhoon of Leyte and Cebu,"October 14-16, 1912",10.3831,124.9819,Leyte; Cebu,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912-10-14,1912-10-16
190,Storm Surge,Typhoon of Samar and Luzon,"June 15-24, 1914",12.3329,125.2886,Samar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914-06-15,1914-06-24
191,Storm Surge,Typhoon of Biliran and Northern Leyte,"January 10-16, 1916",11.2384,124.4026,Biliran; Leyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1916-01-10,1916-01-16
193,Tropical Cyclone,243 destructive cyclones from 1970-2003,1970-2003,,,,"Landslide (Wet), Flash Flood, Flood (General)",,,,18682,23753,6568,17636394,90821338,2622775,14118834,2099727,5165289,36.141,88.807,8.736,,,,,,,,109060000,"NDCC, LGU",,,,,,,,,,,,"NDCC. 2003. Brief Analysis of Tropical Cyclones (TCs) Occurences from 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1970-01-01,2003-12-31
194,Tropical Cyclone,243 destructive cyclones from 1970-2003,2003,,,,,,,,139,182,28,702223,3362991,12306,61530,12306,51579,1315,2743,113,,,,,,,,32061000,,,,17465000,640000,,,,,,,445000,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",25 typhoons,,,2003-01-01,2003-12-31
195,Tropical Cyclone,243 destructive cyclones from 1970-2003,2002,,,,,,,,169,71,33,538600,3546469,1055,5275,2980,15947,340,480,9,,,,,,,,30995000,,,,22280000,,,,,,,,705000,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",13 typhoons,,,2002-01-01,2002-12-31
196,Tropical Cyclone,243 destructive cyclones from 1970-2003,2001,,,,,,,,432,418,134,758938,3629295,14899,74494,14899,54422,3562,2964,397,,,,,,,,263807000,,,,46773000,8794932,,,,,,,2380000,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",17 typhoons,,,2001-01-01,2001-12-31
197,Tropical Cyclone,243 destructive cyclones from 1970-2003,2000,,,,,,,,345,386,106,1450773,7284946,24295,121475,24295,196465,2120,4980,370,,,,,,,,123512000,,,,325000,1336000,,,,,,,300000,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",18 typhoons,,,2000-01-01,2000-12-31
198,Tropical Cyclone,243 destructive cyclones from 1970-2003,1999,,,,,,,,100,56,15,381599,1789013,2788,22982,16087,57566,1060,1292,226,,,,,,,,40926000,,,,,,,,,,,,410000,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",16 typhoons,,,1999-01-01,1999-12-31
199,Tropical Cyclone,243 destructive cyclones from 1970-2003,1998,,,,,,,,490,866,104,1590905,7322133,137020,685100,137020,406347,4900,10710,1400,,,,,,,,895189000,,,,,,,,,,,,4590000,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",11 typhoons,,,1998-01-01,1998-12-31
200,Tropical Cyclone,243 destructive cyclones from 1970-2003,1997,,,,,,,,91,44,8,480173,2399435,61929,280174,2325,20546,450,553,43,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",14 typhoons,,,1997-01-01,1997-12-31
201,Tropical Cyclone,243 destructive cyclones from 1970-2003,1996,,,,,,,,124,134,50,280574,1255289,5943,28787,2690,17559,963,1818,18,,,,,,,,190094000,,,,,,,,,,,,480000,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",17 typhoons,,,1996-01-01,1996-12-31
202,Tropical Cyclone,243 destructive cyclones from 1970-2003,1995,,,,,,,,1356,4533,664,1561344,7683526,300820,1244548,294147,719124,3628,11473,260,,,,,,,,731885000,,,,,,,,,,,,280000,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",16 typhoons,,,1995-01-01,1995-12-31
203,Tropical Cyclone,243 destructive cyclones from 1970-2003,1994,,,,,,,,242,247,48,617228,3054232,62344,328114,62344,223359,940,1881,377,,,,,,,,171376000,,,,,,,,,,,,530000,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",25 typhoons,,,1994-01-01,1994-12-31
204,Tropical Cyclone,243 destructive cyclones from 1970-2003,1993,,,,,,,,794,1634,200,1404446,7363591,339986,1686707,164174,444909,3110,10280,82,,,,,,,,22092000,,,7500000,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",32 typhoons,,,1993-01-01,1993-12-31
205,Tropical Cyclone,243 destructive cyclones from 1970-2003,1992,,,,,,,,118,95,53,352950,1755811,3314,16570,3314,8006,2434,2613,25,,,,,,,,57832000,,,,,,,,,,,,60000,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",16 typhoons,,,1992-01-01,1992-12-31
206,Tropical Cyclone,243 destructive cyclones from 1970-2003,1991,,,,,,,,5199,355,1281,150894,759335,15458,77433,15458,83664,1191,2775,221,,,,,,,,127664000,,,6390561,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",19 typhoons,,,1991-01-01,1991-12-31
207,Tropical Cyclone,243 destructive cyclones from 1970-2003,1990,,,,,,,,624,1337,257,1127505,6053319,222831,1118675,222831,634676,1363,10094,1223,,,,,,,,27627000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",20 typhoons,,,1990-01-01,1990-12-31
208,Tropical Cyclone,243 destructive cyclones from 1970-2003,1989,,,,,,,,382,1087,89,502600,2582822,57157,325535,56473,184584,1222,3196,75,,,,,,,,22870000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",19 typhoons,,,1989-01-01,1989-12-31
209,Tropical Cyclone,243 destructive cyclones from 1970-2003,1988,,,,,,,,429,468,195,1173994,6081572,618453,3242364,134344,585732,1225,7256,213,,,,,,,,113102000,,,1600000,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",20 typhoons,,,1988-01-01,1988-12-31
210,Tropical Cyclone,243 destructive cyclones from 1970-2003,1987,,,,,,,,1020,1455,213,668628,3691265,242336,1454016,242336,345370,970,2752,363,,,,,,,,18770000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",16 typhoons,,,1987-01-01,1987-12-31
211,Tropical Cyclone,243 destructive cyclones from 1970-2003,1986,,,,,,,,171,155,43,287240,1524301,7106,42636,3162,14595,488,1292,93,,,,,,,,10704000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",21 typhoons,,,1986-01-01,1986-12-31
212,Tropical Cyclone,243 destructive cyclones from 1970-2003,1985,,,,,,,,211,17,300,318106,1643142,57730,346290,8204,211151,123,2049,360,,,,,,,,3001000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",17 typhoons,,,1985-01-01,1985-12-31
213,Tropical Cyclone,243 destructive cyclones from 1970-2003,1984,,,,,,,,1979,4426,732,741510,4048805,310646,1941697,310646,313391,1852,3138,879,,,,,,,,-,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",20 typhoons,,,1984-01-01,1984-12-31
214,Tropical Cyclone,243 destructive cyclones from 1970-2003,1983,,,,,,,,126,168,28,140804,747155,29892,179366,29892,85072,144,362,36,,,,,,,,2068000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",23 typhoons,,,1983-01-01,1983-12-31
215,Tropical Cyclone,243 destructive cyclones from 1970-2003,1982,,,,,,,,389,402,228,398991,2149167,84887,504162,84887,100874,607,663,379,,,,,,,,5019000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",21 typhoons,,,1982-01-01,1982-12-31
216,Tropical Cyclone,243 destructive cyclones from 1970-2003,1981,,,,,,,,484,1922,264,250325,1472417,93985,469892,93965,159251,369,812,91,,,,,,,,6278000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",23 typhoons,,,1981-01-01,1981-12-31
217,Tropical Cyclone,243 destructive cyclones from 1970-2003,1980,,,,,,,,,,,,,,,,,370,912,194,,,,,,,,4352000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",23 typhoons,,,1980-01-01,1980-12-31
218,Tropical Cyclone,243 destructive cyclones from 1970-2003,1979,,,,,,,,69,79,68,155919,924326,54283,271415,54283,58649,72,178,167,,,,,,,,1218000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",22 typhoons,,,1979-01-01,1979-12-31
219,Tropical Cyclone,243 destructive cyclones from 1970-2003,1978,,,,,,,,663,834,395,520405,2853104,68376,342488,68376,94147,423,502,651,,,,,,,,5079000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",25 typhoons,,,1978-01-01,1978-12-31
220,Tropical Cyclone,243 destructive cyclones from 1970-2003,1977,,,,,,,,99,118,23,137411,812638,15679,78398,15679,16115,227,108,0,,,,,,,,602000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",19 typhoons,,,1977-01-01,1977-12-31
221,Tropical Cyclone,243 destructive cyclones from 1970-2003,1976,,,,,,,,313,37,185,504510,2744379,3917,23502,3917,4912,433,176,115,,,,,,,,7088000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",22 typhoons,,,1976-01-01,1976-12-31
222,Tropical Cyclone,Typhoon Endang,"May 19-28, 1976",,,Region 1; 2; 3; 4,,,,,200,20,147,500054,2719415,3792,22752,3792,4192,350.837,153,104.046,,,,,,,,4018000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1976-05-19,1976-05-28
223,Tropical Cyclone,Typhoon Huaning,"June 22 - July 2, 1976",,,Region 1; 2; 3; 4; 5; 8; 9; 10,,,,,3,-,23,2702,16212,110,660,110,,20.677,5.74,1.045,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",166 kph,,,1976-06-22,1976-07-02
224,Tropical Cyclone,Typhoon Nitang,"August 8-17, 1976",,,Bataan; Batangas; Palawan; Guimaras,,,,,-,-,-,,,,,,,1.027,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",220 kph,,,1976-08-08,1976-08-17
225,Tropical Cyclone,Typhoon Toyang,"September 13-17, 1976",,,Batangas; Occidental Mindoro,,,,,-,-,-,13,48,15,90,15,,0.432,0.05,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",65 kph,,,1976-09-13,1976-09-17
226,Tropical Cyclone,Tropical Storm Aring,"December 2-7, 1976",,,Samar,,,,,110,17,15,1741,8704,,,,,42.685,16.485,10.05,,,,,,,,3070000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",93 kph,,,1976-12-02,1976-12-07
227,Tropical Cyclone,Tropical Depression Kayang,"December 29-31, 1976",,,Leyte,,,,,-,-,-,,,,,,,0.8500000000000001,0.647,0.2,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",47 kph,,,1976-12-29,1976-12-31
228,Tropical Cyclone,243 destructive cyclones from 1970-2003,1975,,,,,,,,39,8,8,4518,26523,698,4188,698,1547,9,4,6,,,,,,,,166000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",15 typhoons,,,1975-01-01,1975-12-31
229,Tropical Cyclone,Typhoon Auring,"January 22-26, 1975",,,Visayas,,,,,39,8,8,4518,26523,698,4188,698,1547,7.662,3.513,5.03,,,,,,,,166000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1975-01-22,1975-01-26
230,Tropical Cyclone,Typhoon Mameng,"October 9-13, 1975",,,Batanes,,,,,,,,,,,,,,0.885,1.085,0.77,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1975-10-09,1975-10-13
231,Tropical Cyclone,,1974,,,,,,,,153,118,89,97085,444380,1441,8646,1441,4589,118,157,90,,,,,,,,1526000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",23 typhoons,,,1974-01-01,1974-12-31
232,Tropical Cyclone,Typhoon Bising,"January 8-11, 1974",,,Region 1; 2; 3; 4; 5; 6,,,,,65,,40,1367,6421,,,,,10.383,22.815,1.293,,,,,,,,309000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",120 kph,,,1974-01-08,1974-01-11
233,Tropical Cyclone,Typhoon Iliang,"July 18-21, 1974",,,Region 1; 2; 3; 4,,,,,21,16,46,2400,14400,140,840,140,2260,9.699,23.08,5.837,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",165 kph,,,1974-07-18,1974-07-21
234,Tropical Cyclone,Typhoon Susang,"October 8-12, 1974",,,Region 1; 2; 3; 6; 7,,,,,26,40,3,7142,35562,,,,,12.448,16.351,16.408,,,,,,,,53000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",231 kph,,,1974-10-08,1974-10-12
235,Tropical Cyclone,Typhoon Tering,"October 14-17, 1974",,,Region 1; 2; 3; 5; 6,,,,,13,9,,7756,28486,,,,,4.913,59.391,-,,,,,,,,208000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",110 kph,,,1974-10-14,1974-10-17
236,Tropical Cyclone,Typhoon Wening,"October 25-26, 1974",,,Region 1; 2; 3,,,,,23,50,,55575,227902,,,,,80.04,34.388,2.971,,,,,,,,877000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",269 kph,,,1974-10-25,1974-10-26
237,Tropical Cyclone,Typhoon Yaning,"October 31 - November 2, 1974",,,Zamboanga del Sur; Laguna,,,,,1,1,,,,,,,,0.14,0.155,-,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",96 kph,,,1974-10-31,1974-11-02
238,Tropical Cyclone,Typhoon Aning,"November 4-7, 1974",,,Region 1; 2; 4; 5,,,,,3,2,,22835,131609,1301,7806,1301,2329,0.391,1.547,0.077,,,,,,,,79000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",156 kph,,,1974-11-04,1974-11-07
239,Tropical Cyclone,Typhoon Bidang,"November 24-29, 1974",,,Central Luzon; Visayas; National Capital Region (NCR),,,,,1,,,,,,,,,42.8,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",141 kph,,,1974-11-24,1974-11-29
240,Tropical Cyclone,243 destructive cyclones from 1970-2003,1973,,,,,,,,74,24,89,2024,12144,-,-,-,-,39,190,16,,,,,,,,776000,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",12 typhoons,,,1973-01-01,1973-12-31
241,Tropical Cyclone,243 destructive cyclones from 1970-2003,"October 2-9, 1973",,,Region 1; 2; 3; 4; 5,,,,,1,,,,,,,,,7.687,27.523,3.952,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1973-10-02,1973-10-09
242,Tropical Cyclone,243 destructive cyclones from 1970-2003,"November 18-24, 1973",,,Region 6; 7; 8; 9; 10,,,,,73,24,89,,,,,,,33.927,156.774,6.577,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",89 kph,,,1973-11-18,1973-11-24
243,Tropical Cyclone,243 destructive cyclones from 1970-2003,"November 24-29, 1973",,,Cavite; Pampanga; Nueva Ecija,,,,,,,,,,,,,,0.77,5.401,1.504,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1973-11-24,1973-11-29
244,Tropical Cyclone,243 destructive cyclones from 1970-2003,1972,,,,,,,,298,33,5,15602,62408,-,-,-,-,45,63,70,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",17 typhoons,,,1972-01-01,1972-12-31
245,Tropical Cyclone,Tropical Storm Asiang,"January 5-9, 1972",,,Eastern Visayas,,,,,204,26,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-01-05,1972-01-09
246,Tropical Cyclone,Typhoon Konsing,"January 23-25, 1972",,,Region 3; 4; 5,,,,,,,,,,,,,,14.596,5.592,0.07,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-01-23,1972-01-25
247,Tropical Cyclone,Typhoon Toyang,"November 4-5, 1972",,,Visayas; I; II; CAR,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-11-04,1972-11-05
248,Tropical Cyclone,Typhoon Undang,"December 1-8, 1972",,,Northern Mindanao; Visayas; Palawan,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",,,,1972-12-01,1972-12-08
249,Tropical Cyclone,,1971,,,,,,,,89,72,110,4225,17275,-,-,-,-,0,24,17,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",27 typhoons,,,1971-01-01,1971-12-31
250,Tropical Cyclone,Typhoon Diding,"April 23-26, 1971",,,Visayas,,,,,56,39,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",160 kph,,,1971-04-23,1971-04-26
251,Tropical Cyclone,Typhoon Herming,"May 25-27, 1971",,,V; IV-A; VIII,,,,,13,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1971-05-25,1971-05-27
252,Tropical Cyclone,Typhoon Mambing,"June 23-26, 1971",,,Visayas; V; IV-A,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",150 kph,,,1971-06-23,1971-06-26
253,Tropical Cyclone,Tropical Storm Krising,"October 6-11, 1971",,,Luzon,,,,,10,8,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",100 kph,,,1971-10-06,1971-10-11
254,Tropical Cyclone,Tropical Storm Dading,"October 11-13, 1971",,,I; CAR; II; IIII,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",70 kph,,,1971-10-11,1971-10-13
255,Tropical Cyclone,Tropical Storm Goying,"October 19-22, 1971",,,Northern Mindanao,,,,,6,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",100 kph,,,1971-10-19,1971-10-22
256,Tropical Cyclone,,1970,,,,,,,,1328,1917,494,18370,109980,-,-,-,-,28,314,158,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",21 typhoons,,,1970-01-01,1970-12-31
257,Tropical Cyclone,Typhoon Atang,"February 23-27, 1970",,,V; VIII,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",220 kph,,,1970-02-23,1970-02-27
258,Tropical Cyclone,Tropical Storm Oyang,"September 4-6, 1970",,,V; IV-A; VIII,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",90 kph,,,1970-09-04,1970-09-06
259,Tropical Cyclone,Typhoon Pitang,"September 8-12, 1970",,,Misamis Occidental; Davao del Sur; Samar,,,,,-,,,1326,7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",240 kph,,,1970-09-08,1970-09-12
260,Tropical Cyclone,Typhoon Sening,"September 12-15, 1970",,,Region 2; 3; 4; 6,,,,,575,1593,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",275 kph,,,1970-09-12,1970-09-15
261,Tropical Cyclone, Tropical Storm Titang,"October 16-22, 1970",,,Northern Mindanao; Western Visayas,,,,,631,76,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",100 kph,,,1970-10-16,1970-10-22
262,Tropical Cyclone,Typhoon Yoling,"November 17-20, 1970",,,Region 3; 4; 5,,,,,80,284,17,17044,102264,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NDCC. 2003. Destructive Tropical Cyclones 1970-2003, OCD NDCC Report, Quezon City, Philippines.",200 kph,,,1970-11-17,1970-11-20
263,Tropical Cyclone,Typhoon Norming,"December 11-15, 1998",,,Region 3; 4; 5; 6; 8,"Landslide (Wet), Flash Flood, Flood (General)","Severe Weather Bulletin, Flood Advisory",182,516,33,30,36,70620,297171,6240,38837,3234,6423,278.912,644.322,137.665,Total black out due to power breakdown from damaged posts,out of service,partially to fully damages,boats capsized,,"preventive discharges without detrital effects to communities for dams Angat, Ambuklao, Magat, Kalayaan",need restoration of pumps,,"NDCC, LGU, DOH, PNRC",,,,"100 rice sakcs, 130 canned goods",,with provision,,,,with provision,,"NDCC. 1998. Typhoon Norming 11-15 December 1998, OCD NDCC Report, Quezon City, Philippines.","Typhoon Norming, strongest sustained wind 150 kph, gustiness 150 kph, movement west southwest at 24 kph towards Vietnam, entered Philippine Area of Responsibiliy on December 9 10:00AM at 55 kph 970km east southeast of Guian, landfall over Eastern Samar at December 10 4:00PM, by December 11 4:00PM was 80km west southwest of Coron",,,1998-12-11,1998-12-15
